iso2,iso3,country,group,year,year_date,var,obs_value,var_code,var_long,var_axis
AU,AUS,Australia,Global,2018,2018-01-01,3.3.1,1.7,pct_patents,PCT patent applications,PCT patent applications per billion GDP (in PPS)
AU,AUS,Australia,Global,2018,2018-01-01,3.3.2,117.7,trademark_apps,Trademark applications,Trademark applications per billion GDP (in PPS)
AU,AUS,Australia,Global,2018,2018-01-01,3.3.3,6.4,design_apps,Design applications,Design applications per billion GDP (in PPS)
AU,AUS,Australia,Global,2018,2018-01-01,4.2.1,8.4,hi_tech_exports,Exports of medium and high technology products,Exports of medium and high technology products as a share of total products exports
AU,AUS,Australia,Global,2018,2018-01-01,4.2.2,24.3,know_serv_exports,Knowledge-intensive services exports,Knowledge-intensive services exports as a share of total services exports
AU,AUS,Australia,Global,2018,2018-01-01,4.3.2,7.3,fine_particle_em,Air emissions by fine particulates,Air emissions by fine particulate matter (PM2.5) in industry
AU,AUS,Australia,Global,2018,2018-01-01,4.3.3,10.2,env_tech,Environment-related technologies,Development of environment-related technologies, percentage of all technologies
AU,AUS,Australia,Global,2019,2019-01-01,1.1.1,1.1,new_doc_grads,New doctorate graduates,New doctorate graduates in science, technology, engineering and mathematics (STEM) per 1000 population aged 25-34
AU,AUS,Australia,Global,2019,2019-01-01,1.1.2,52,tert_edu_pop,Population with tertiary education,Percentage population aged 25-34 having completed tertiary education
AU,AUS,Australia,Global,2019,2019-01-01,1.2.1,2035.2,intl_sci_pubs,International scientific co-publications,International scientific co-publications per million population
AU,AUS,Australia,Global,2019,2019-01-01,1.2.2,13.5,top_cited_pubs,Scientific publications among the top 10% most cited,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country
AU,AUS,Australia,Global,2019,2019-01-01,2.1.1,0.8,pub_rd_exp,R&D expenditure in the public sector,R&D expenditure in the public sector (percentage of GDP)
AU,AUS,Australia,Global,2019,2019-01-01,2.1.3,0.2,gov_bus_rd_supp,Direct and indirect government support of business R&D,Direct government funding and government tax support for business R&D (percentage of GDP)
AU,AUS,Australia,Global,2019,2019-01-01,2.3.2,3.3,ict_spec_emp,Employed ICT specialists,ICT specialists (percentage of total employment)
AU,AUS,Australia,Global,2019,2019-01-01,3.2.2,228.4,pub_priv_pubs,Public-private co-publications,Public-private publications per million population
AU,AUS,Australia,Global,2019,2019-01-01,3.3.1,1.7,pct_patents,PCT patent applications,PCT patent applications per billion GDP (in PPS)
AU,AUS,Australia,Global,2019,2019-01-01,3.3.2,117.9,trademark_apps,Trademark applications,Trademark applications per billion GDP (in PPS)
AU,AUS,Australia,Global,2019,2019-01-01,3.3.3,6.4,design_apps,Design applications,Design applications per billion GDP (in PPS)
AU,AUS,Australia,Global,2019,2019-01-01,4.2.1,8.1,hi_tech_exports,Exports of medium and high technology products,Exports of medium and high technology products as a share of total products exports
AU,AUS,Australia,Global,2019,2019-01-01,4.2.2,24.1,know_serv_exports,Knowledge-intensive services exports,Knowledge-intensive services exports as a share of total services exports
AU,AUS,Australia,Global,2019,2019-01-01,4.3.2,7.1,fine_particle_em,Air emissions by fine particulates,Air emissions by fine particulate matter (PM2.5) in industry
AU,AUS,Australia,Global,2019,2019-01-01,4.3.3,10.5,env_tech,Environment-related technologies,Development of environment-related technologies, percentage of all technologies
AU,AUS,Australia,Global,2020,2020-01-01,1.1.1,1.1,new_doc_grads,New doctorate graduates,New doctorate graduates in science, technology, engineering and mathematics (STEM) per 1000 population aged 25-34
AU,AUS,Australia,Global,2020,2020-01-01,1.1.2,51.4,tert_edu_pop,Population with tertiary education,Percentage population aged 25-34 having completed tertiary education
AU,AUS,Australia,Global,2020,2020-01-01,1.2.1,2186.1,intl_sci_pubs,International scientific co-publications,International scientific co-publications per million population
AU,AUS,Australia,Global,2020,2020-01-01,1.2.2,13.3,top_cited_pubs,Scientific publications among the top 10% most cited,Scientific publications among the top-10% most cited publications worldwide as percentage of total scientific publications of the country
AU,AUS,Australia,Global,2020,2020-01-01,2.1.1,0.8,pub_rd_exp,R&D expenditure in the public sector,R&D expenditure in the public sector (percentage of GDP)
AU,AUS,Australia,Global,2020,2020-01-01,2.1.3,0.2,gov_bus_rd_supp,Direct and indirect government support of business R&D,Direct government funding and government tax support for business R&D (percentage of GDP)
AU,AUS,Australia,Global,2020,2020-01-01,2.2.1,0.9,bus_rd_exp,R&D expenditure in the business sector,R&D expenditure in the business sector (percentage of GDP)
AU,AUS,Australia,Global,2020,2020-01-01,2.3.2,3.5,ict_spec_emp,Employed ICT specialists,ICT specialists (percentage of total employment)
AU,AUS,Australia,Global,2020,2020-01-01,3.1.1,28.3,sme_prod_innov,SMEs introducing product innovations,SMEs introducing product innovation (percentage of SMEs)
